loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,state
17:38.1,1,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693058,1.187435865,199.4654388,-757.935791,16.84013939,8.45479393,-1,86162.92382,0.204193115,-0.76020813,-0.536392212,86162.88447,-0.138791705,0.044416201,-0.057800982,86162.88447,0.232105499,0.32160951,0.901462577,-0.136167407,0.041870143,-0.050471175,-0.000751268,0.008508906,-0.024035009,XArbitraryZVertical,0.41042313,0.192943723,0.172163136,0.874462937,0.196124807,-0.784235239,-0.588651121,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.2,2,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693058,1.082666039,200.6795959,-758.1720581,17.03814697,8.65280056,-1,86162.98335,0.2162323,-0.771255493,-0.638031006,86162.95456,-0.238452253,-0.392276172,-0.156176555,86162.95456,0.230853317,0.321655988,0.885288706,-0.235828117,-0.394815683,-0.148855224,0.038175505,0.000919689,-0.003665197,XArbitraryZVertical,0.403324012,0.19243359,0.170862125,0.878125953,0.200136259,-0.7740978,-0.600598097,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.3,3,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693058,0.384188831,201.7202759,-758.9821167,17.153265,8.76791954,-1,86163.04289,0.15965271,-0.761169434,-0.633789063,86163.02464,-0.170390911,-0.892886008,-0.051941495,86162.98961,0.226607062,0.304776887,0.876040261,-0.177642897,-0.692002773,-0.140727088,0.024121439,-0.003045602,-0.027337154,XArbitraryZVertical,0.401001576,0.183985896,0.165173418,0.88207974,0.192110866,-0.768209875,-0.610693872,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.3,4,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693058,-5.622741699,202.6915894,-760.8048096,16.3259697,7.940624714,-1,86163.10242,0.12121582,-0.736785889,-0.631759644,86163.09475,-0.172597872,-0.44858605,-0.056763681,86163.05971,0.224460794,0.244660655,0.86380508,-0.154764414,-0.920752466,-0.056249008,0.003931747,0.014546332,-0.001523871,XArbitraryZVertical,0.400446087,0.156653452,0.151708897,0.889992718,0.157338396,-0.76031965,-0.630205274,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.4,5,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693058,-9.045297623,203.2466125,-760.8723755,16.03120613,7.645860672,-1,86163.16195,0.139511108,-0.733032227,-0.631195068,86163.1298,-0.071710939,-0.262189275,-0.075107801,86163.1298,0.222626679,0.211539146,0.852899861,-0.069090672,-0.264729053,-0.067787044,-0.008522442,0.014360537,0.022914644,XArbitraryZVertical,0.398106943,0.141214518,0.14396864,0.894897957,0.138115332,-0.753191113,-0.643138647,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.4,6,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693058,-11.83921528,203.0384827,-761.3448486,15.79012299,7.404777527,-1,86163.22148,0.138259888,-0.737121582,-0.641784668,86163.19988,-0.014067616,-0.095079645,-0.041952244,86163.16483,0.219163873,0.205414254,0.852827901,0.046525426,-0.201145694,-0.049197998,0.005326437,0.020111538,0.012830507,XArbitraryZVertical,0.39875257,0.137780986,0.141196683,0.895587117,0.134184673,-0.753143787,-0.644025564,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.5,7,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693058,-12.25830364,203.1772461,-761.5474243,15.77388191,7.388535976,-1,86163.281,0.121200562,-0.732620239,-0.634643555,86163.26997,-0.050025084,-0.163880281,-0.045807969,86163.23492,0.214414221,0.200325848,0.850910771,-0.053738471,-0.171706036,-0.041771863,-0.001279629,0.010380332,-0.006458797,XArbitraryZVertical,0.398563384,0.134500228,0.138009016,0.896666286,0.131192952,-0.751881182,-0.646113813,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.6,8,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693059,-13.82988262,204.2526398,-760.6361084,15.70028019,7.314934731,-1,86163.34053,0.123580933,-0.733444214,-0.640197754,86163.30502,-0.056769273,-0.167156502,-0.019329223,86163.30502,0.212663256,0.189247072,0.846897767,-0.054155268,-0.169695094,-0.012011461,0.002939442,0.010948122,0.024036236,XArbitraryZVertical,0.397616721,0.129066002,0.13492893,0.898352433,0.124593519,-0.749229372,-0.650485814,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.6,9,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693059,-14.56328773,204.0097961,-760.7374268,15.69916153,7.313816071,-1,86163.40007,0.120956421,-0.726348877,-0.655288696,86163.3751,-0.061276141,-0.119591379,-0.010710701,86163.3751,0.213172591,0.179850748,0.840992293,-0.058663521,-0.122130282,-0.003392912,-0.009005327,0.010014545,-0.001058589,XArbitraryZVertical,0.395535267,0.124767977,0.133175906,0.900138313,0.11926534,-0.745305061,-0.65596962,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.7,10,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693059,-14.91252708,204.3567047,-761.4124146,15.68157196,7.296226501,-1,86163.45961,0.108032227,-0.727996826,-0.650985718,86163.44517,0.031613586,-0.056926134,-0.042342397,86163.44517,0.212635439,0.17355022,0.839950061,0.034222621,-0.0594665,-0.035023693,0.000550094,0.015529587,0.012392208,XArbitraryZVertical,0.395512312,0.121793365,0.131668818,0.900777281,0.115264118,-0.744609773,-0.657472789,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.7,11,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693059,-15.15699482,204.4607697,-761.7161865,15.53134155,7.145996094,-1,86163.51913,0.112823486,-0.741424561,-0.642227173,86163.48022,0.051665591,-0.036827257,-0.033532927,86163.48022,0.210362376,0.173221029,0.840935597,0.054270431,-0.039360005,-0.026215833,0.017799811,0.016995786,0.010837189,XArbitraryZVertical,0.396119535,0.121225247,0.130597523,0.900743049,0.114921138,-0.745267272,-0.656787515,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.8,12,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693059,-15.64593506,204.1138763,-761.7836914,15.52620125,7.140855312,-1,86163.57865,0.112884521,-0.732528687,-0.651885986,86163.55031,0.005331116,-0.040214798,0.007359113,86163.55031,0.209576856,0.171932369,0.841490673,0.007931651,-0.042749278,0.01467725,-0.006749845,0.010728204,-0.000210908,XArbitraryZVertical,0.396503001,0.120505949,0.129998271,0.900757535,0.114003874,-0.745637238,-0.6565274,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.9,13,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693059,-15.9951725,204.7382965,-761.9187012,15.52238178,7.137036324,-1,86163.6382,0.101242065,-0.734634399,-0.644500732,86163.62041,-0.00278034,-0.032714803,-0.02353036,86163.58537,0.209362407,0.170523755,0.84226204,0.010233579,-0.073399112,0.00821739,-9.68E-05,0.013622355,0.00423431,XArbitraryZVertical,0.396957531,0.119852285,0.129635791,0.900696791,0.112981327,-0.74615103,-0.6561203,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
